J4113|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:9 
J3003|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:14 
J41011||C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:3 
J30820|USTR0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:8 
J4112|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:8 
J4114|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:10 
J30026|USTC0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:4 
J4016|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:9 
J4112|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:8 
J3002|USTC0004|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:3 
J4114|U0003|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:7 
J3003|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:14 
J41011||C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:3 
J41026|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:14 
J41026|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:3 
J3003|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:14 
J3002|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:2 
J30835|USTR0001P|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:19 
J12850|USTR0001|C09RSMAIN:0 C12R:7 
J41022||C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:15 
J3003|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:14 
J30835|USTR0012P|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:15 
J41026|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:14 
J30026|USTC0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:3 
J30835|USTR0001P|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:19 
J4114|U0003|C09RSMAIN:0 C30R:22 C3014R:21 C3011R:20 C4111R:7 
J30835|USTR0001P|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:19 
J4016|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:9 
J41026|U0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:3 
J4116|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:11 
J4116|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:11 
J41025||C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:16 
J4114|U0003|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:7 
J30026|USTC0001|C09RSMAIN:0 C30R:22 C3014R:21 C3011R:3 
J3002|USTC0001O|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:6 
J41025||C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:4 C4112R:16 
J30835|USTR0001P|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:9 
J30835|USTR0012|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:12 C3031RSI:16 
J30026|USTC0001|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:2 
J4114|U0002|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:12 
J4113|U0001|C09RSMAIN:0 C09RS:17 C30R:22 C3014R:24 C30R:22 C3014R:24 C30R:22 C3014R:21 C3011R:20 C4111R:9 
J30835|USTR0001P|C09RSMAIN:0 C30R:22 C3014R:24 C30R:22 C3014R:9 
